"cod","lon","lat","month_n","CCSM_tasmin","CNRM_tasmin","FGOALS_tasmin","GISS_tasmin","IPSL_tasmin","MIROC_tasmin","MPI_tasmin","MRI_tasmin"
83589,-43.43,-19.02,"3",20.018762588501,16.7523593902588,17.1877517700195,18.9311962127686,14.9877252578735,19.7731380462646,18.48850440979,19.6876697540283
83589,-43.43,-19.02,"4",18.3355827331543,13.8835201263428,15.6874198913574,17.901346206665,13.3369178771973,18.1312694549561,16.6054649353027,17.8202228546143
83589,-43.43,-19.02,"5",15.7386255264282,10.9992685317993,13.9401865005493,16.3721542358398,10.3493957519531,15.8428239822388,14.4639520645142,15.5036869049072
83589,-43.43,-19.02,"6",14.0116367340088,8.47144794464111,12.9618272781372,14.3684692382812,8.70689487457275,14.1525611877441,12.8898735046387,13.4923820495605
83589,-43.43,-19.02,"7",13.341947555542,8.24053287506104,13.1165332794189,13.983922958374,7.91140985488892,13.6142358779907,12.1300363540649,12.8663377761841
83589,-43.43,-19.02,"8",13.5595388412476,9.97784996032715,14.6497097015381,15.001106262207,8.33162689208984,14.2865447998047,12.8969717025757,13.7860155105591
83589,-43.43,-19.02,"9",15.1346759796143,13.1215867996216,16.8694343566895,17.0336208343506,9.84190464019775,16.3436489105225,14.606032371521,15.9285688400269
83592,-42.13,-19.73,"1",20.4657516479492,17.4155960083008,18.3892765045166,19.7904052734375,15.7447786331177,21.0509757995605,19.5846691131592,20.5663299560547
83592,-42.13,-19.73,"10",17.2428379058838,14.0784025192261,17.5687217712402,18.3853740692139,11.9586811065674,18.2408752441406,17.1891136169434,18.1259956359863
83592,-42.13,-19.73,"11",19.0097503662109,15.1382083892822,17.7966213226318,19.1670303344727,13.4734716415405,19.6584377288818,18.0885257720947,19.075662612915
83592,-42.13,-19.73,"12",19.9896583557129,16.6974010467529,17.9840526580811,19.5985813140869,14.730842590332,20.4104442596436,18.9698333740234,20.02760887146
83592,-42.13,-19.73,"2",20.6374893188477,17.5364437103271,18.5629043579102,19.6649398803711,16.0085926055908,21.0585784912109,19.7021865844727,20.5782299041748
83592,-42.13,-19.73,"3",20.3707294464111,16.7989082336426,17.9912433624268,19.315486907959,15.1138973236084,20.5221214294434,19.1930294036865,20.1464099884033
83592,-42.13,-19.73,"4",18.8359489440918,14.0644779205322,16.5510635375977,18.2747497558594,13.5615997314453,19.046257019043,17.5311622619629,18.266881942749
83592,-42.13,-19.73,"5",16.5325355529785,11.1524229049683,14.7723455429077,16.7082347869873,10.6709432601929,16.9716186523438,15.5332984924316,16.1043262481689
83592,-42.13,-19.73,"6",14.9751033782959,8.49178123474121,13.7676935195923,14.8240594863892,8.93193435668945,15.3887414932251,14.0343332290649,14.1627426147461
83592,-42.13,-19.73,"7",14.2540702819824,8.01706600189209,13.8572692871094,14.4229860305786,8.10340595245361,14.8455400466919,13.2945728302002,13.6252307891846
83592,-42.13,-19.73,"8",14.2796173095703,9.55980682373047,15.1517305374146,15.2463960647583,8.3570499420166,15.2859830856323,13.9342174530029,14.3878622055054
83592,-42.13,-19.73,"9",15.5796203613281,12.5179624557495,17.0045967102051,17.0714473724365,9.69251823425293,16.8486022949219,15.384090423584,16.2071590423584
83595,-41.07,-19.49,"1",21.5395679473877,19.0627727508545,19.5492992401123,20.8169708251953,15.9922590255737,21.5975894927979,20.5633163452148,21.4570808410645
